corto,mediano,largo,rendimiento
1,11,75,-0.13229835586802813
1,12,75,-0.11777063201124645
1,13,75,-0.43702846864067524
1,14,75,-0.42103220853277423
1,15,75,-0.18519798967819814
1,16,75,-0.14678137383389334
1,17,75,-0.07116345892139793
1,18,75,-0.029010214926051048
1,19,75,-0.12800293040280813
1,20,75,-0.01825957173152301
1,21,75,-0.06510029623487651
1,22,75,-0.2543763022744372
1,23,75,-0.2608209546529223
1,24,75,-0.29885598692084864
1,25,75,-0.20763004998556323
2,11,75,-0.40674955063151924
2,12,75,-0.4061667748153789
2,13,75,-0.29802830398476
2,14,75,-0.1983161834921009
2,15,75,-0.436333816369204
2,16,75,-0.11200503953512736
2,17,75,-0.11807185673276228
2,18,75,-0.167957127464422
2,19,75,-0.13086839924719482
2,20,75,-0.19255005449659154
2,21,75,-0.16934588390432487
2,22,75,-0.27121935615117365
2,23,75,-0.28465996200383176
2,24,75,-0.27533263051026824
2,25,75,-0.22705567378871513
3,11,75,-0.34989424839245553
3,12,75,-0.3483692036440452
3,13,75,-0.2039003427101111
3,14,75,-0.15186562564697625
3,15,75,-0.160671548344896
3,16,75,-0.3663305036791687
3,17,75,0.030593837150477383
3,18,75,0.006700096119637238
3,19,75,-0.06244583551381834
3,20,75,-0.1264335411900431
3,21,75,-0.1538780086334143
3,22,75,-0.23124999509226132
3,23,75,-0.21990495441334224
3,24,75,-0.21779909989166368
3,25,75,-0.18553893416910147
4,11,75,-0.32222414251899306
4,12,75,-0.31547837573431875
4,13,75,-0.19368811116621817
4,14,75,-0.15653677391579218
4,15,75,-0.11625578041782728
4,16,75,-0.06459773648646785
4,17,75,-0.05100723868745843
4,18,75,0.07598928035983181
4,19,75,0.050005834462870664
4,20,75,-0.05844502313533678
4,21,75,-0.08656372374939907
4,22,75,-0.10295208845383251
4,23,75,-0.08764559067234484
4,24,75,-0.06373514301035084
4,25,75,-0.1622798891077398
5,11,75,-0.3061562058560388
5,12,75,-0.380539940070271
5,13,75,-0.2519901889620842
5,14,75,-0.17415787282298414
5,15,75,-0.18008545541712762
5,16,75,-0.0298363179955154
5,17,75,-0.016937760415376486
5,18,75,-0.06488307281633342
5,19,75,-0.0464983525709996
5,20,75,-0.07917145153669491
5,21,75,-0.053714338157400905
5,22,75,-0.15410855480306965
5,23,75,-0.18174548938138968
5,24,75,-0.1563983416316654
5,25,75,-0.1867175163614878
6,11,75,-0.2637986304230853
6,12,75,-0.35882773353818426
6,13,75,-0.22904346003219997
6,14,75,-0.11603303923168369
6,15,75,-0.11909683249277907
6,16,75,-0.08680952763789185
6,17,75,0.025487198366846313
6,18,75,0.0006368064094039028
6,19,75,-0.033197365867045844
6,20,75,-0.029610310409582438
6,21,75,0.02207426132188698
6,22,75,-0.0768245728218501
6,23,75,-0.1407168813213458
6,24,75,-0.1642972178587097
6,25,75,-0.15289364475912465
7,11,75,-0.23565043975152947
7,12,75,-0.3161401471638244
7,13,75,-0.20032859150992374
7,14,75,-0.16162100007819902
7,15,75,-0.14849247201501214
7,16,75,-0.0012094739181510476
7,17,75,-0.05200677303833777
7,18,75,-0.011318492448349276
7,19,75,-0.2140291397097643
7,20,75,-0.061039379958297675
7,21,75,-0.07635604779045138
7,22,75,-0.11727169095314502
7,23,75,-0.14632823132171074
7,24,75,-0.16813216531624312
7,25,75,-0.21514935897926546
8,11,75,-0.1906708408261205
8,12,75,-0.2707869006614051
8,13,75,-0.14212178948040388
8,14,75,-0.12851544416307092
8,15,75,-0.14486978541180098
8,16,75,-0.10998763372801557
8,17,75,-0.11747803892411969
8,18,75,0.08030523132283633
8,19,75,-0.11359911934408308
8,20,75,0.030199563507145855
8,21,75,-0.04025491815782289
8,22,75,-0.1000146112336962
8,23,75,-0.09569953994991784
8,24,75,-0.11837608311915074
8,25,75,-0.23624678344007577
9,11,75,-0.2914108000778223
9,12,75,-0.2883691914773817
9,13,75,-0.23423836898787204
9,14,75,-0.14442949474795763
9,15,75,-0.09062531102337959
9,16,75,-0.0879939968872759
9,17,75,-0.25351763308719344
9,18,75,-0.02168519157165929
9,19,75,-0.21899566809860552
9,20,75,-0.11656622511789362
9,21,75,-0.09757055367818816
9,22,75,-0.17368470970433236
9,23,75,-0.15284543214517315
9,24,75,-0.16928030356571172
9,25,75,-0.2336258635297612
10,11,75,-0.3151437161009051
10,12,75,-0.3763909106133002
10,13,75,-0.155673621032484
10,14,75,-0.2716210664449732
10,15,75,-0.30090937633326964
10,16,75,-0.21287684578640653
10,17,75,-0.11432421883882705
10,18,75,-0.1237673916394815
10,19,75,-0.14567863062595882
10,20,75,-0.08235133223615594
10,21,75,-0.053346324211785597
10,22,75,-0.15907915737530276
10,23,75,-0.09293087782017369
10,24,75,-0.16740229157558462
10,25,75,-0.17498538609549724
